FileFormat:0002.2 file with temperature of atmosphere
SN105HE102
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D219217+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
01/09/2019 00:00:00	17,26	19,11	20,05	20,70	20,89	20,91	20,81	20,64	20,34	19,95	19,50	19,02	18,54	18,06	17,59	17,08	16,58	16,04	15,50	14,92	14,35	16,72
01/09/2019 00:05:00	17,12	19,06	20,16	20,94	21,17	21,16	21,01	20,78	20,46	20,05	19,55	19,02	18,48	17,95	17,43	16,89	16,35	15,78	15,22	14,63	14,03	16,66
01/09/2019 00:10:00	17,23	19,07	20,02	20,67	20,86	20,88	20,76	20,49	20,20	19,87	19,47	19,03	18,59	18,14	17,68	17,18	16,68	16,14	15,60	15,04	14,48	16,41
01/09/2019 00:15:00	17,07	19,07	20,15	20,91	21,13	21,10	20,96	20,79	20,49	20,09	19,55	18,99	18,44	17,91	17,38	16,85	16,32	15,77	15,21	14,62	14,04	16,49
01/09/2019 00:20:00	17,36	19,15	20,09	20,75	20,94	20,95	20,81	20,55	20,24	19,88	19,49	19,04	18,60	18,14	17,67	17,17	16,66	16,12	15,58	15,01	14,44	17,01
01/09/2019 00:25:00	17,61	19,19	20,04	20,64	20,81	20,83	20,73	20,51	20,22	19,87	19,47	19,03	18,59	18,14	17,69	17,20	16,71	16,17	15,64	15,08	14,51	17,01
01/09/2019 00:30:00	17,68	19,06	19,77	20,28	20,51	20,50	20,38	20,19	19,93	19,62	19,28	18,89	18,51	18,09	17,68	17,21	16,74	16,23	15,71	15,17	14,62	17,02
01/09/2019 00:35:00	17,64	18,75	19,52	20,15	20,47	20,61	20,60	20,45	20,26	20,03	19,65	19,22	18,80	18,36	17,93	17,46	17,00	16,47	15,95	15,38	14,81	17,30
01/09/2019 00:40:00	17,37	18,52	19,25	19,83	20,11	20,25	20,25	20,11	19,95	19,75	19,42	19,04	18,67	18,28	17,89	17,45	17,00	16,50	16,00	15,46	14,91	17,31
01/09/2019 00:45:00	17,37	18,42	19,16	19,80	20,24	20,47	20,54	20,45	20,24	19,96	19,61	19,20	18,80	18,37	17,94	17,46	16,98	16,43	15,89	15,29	14,69	17,05
