FileFormat:0002.2 file with temperature of atmosphere
SN105HE102
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D219217+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\alaska.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
30/01/2020 00:00:00	-19,49	-19,81	-20,19	-20,67	-21,19	-21,75	-22,37	-22,93	-23,31	-23,58	-23,81	-23,86	-23,90	-23,71	-23,53	-23,30	-23,07	-22,89	-22,70	-22,62	-22,53	-19,39
30/01/2020 00:05:00	-19,49	-19,88	-20,32	-20,88	-21,36	-21,82	-22,33	-22,74	-23,08	-23,36	-23,63	-23,70	-23,76	-23,59	-23,43	-23,20	-22,97	-22,79	-22,61	-22,53	-22,45	-19,44
30/01/2020 00:10:00	-19,58	-20,07	-20,46	-20,91	-21,35	-21,82	-22,33	-22,79	-23,17	-23,46	-23,73	-23,82	-23,90	-23,75	-23,60	-23,38	-23,17	-22,99	-22,82	-22,74	-22,66	-19,51
30/01/2020 00:15:00	-19,60	-19,99	-20,41	-20,94	-21,47	-21,93	-22,34	-22,77	-23,14	-23,45	-23,75	-23,83	-23,92	-23,76	-23,60	-23,37	-23,13	-22,95	-22,77	-22,69	-22,60	-19,57
30/01/2020 00:20:00	-19,64	-20,17	-20,57	-21,02	-21,50	-21,97	-22,44	-22,88	-23,24	-23,52	-23,78	-23,84	-23,89	-23,71	-23,53	-23,29	-23,06	-22,86	-22,67	-22,58	-22,49	-19,59
30/01/2020 00:25:00	-19,65	-20,08	-20,44	-20,83	-21,30	-21,82	-22,35	-22,77	-23,22	-23,64	-24,03	-24,18	-24,34	-24,22	-24,10	-23,87	-23,65	-23,46	-23,28	-23,19	-23,11	-19,64
30/01/2020 00:30:00	-19,56	-19,97	-20,40	-20,93	-21,45	-21,97	-22,52	-22,99	-23,36	-23,63	-23,87	-23,91	-23,96	-23,76	-23,57	-23,33	-23,09	-22,90	-22,70	-22,62	-22,53	-19,76
30/01/2020 00:35:00	-19,73	-20,20	-20,68	-21,10	-21,55	-22,04	-22,53	-22,88	-23,23	-23,53	-23,82	-23,91	-24,00	-23,84	-23,68	-23,46	-23,23	-23,05	-22,87	-22,78	-22,70	-19,75
30/01/2020 00:40:00	-19,73	-20,19	-20,62	-21,11	-21,60	-22,07	-22,56	-23,09	-23,41	-23,62	-23,81	-23,83	-23,85	-23,65	-23,46	-23,24	-23,02	-22,84	-22,66	-22,58	-22,50	-19,78
30/01/2020 00:45:00	-19,78	-20,25	-20,64	-21,10	-21,52	-21,91	-22,33	-22,81	-23,17	-23,46	-23,73	-23,84	-23,94	-23,81	-23,69	-23,49	-23,29	-23,14	-22,98	-22,91	-22,84	-19,80
30/01/2020 00:50:00	-19,70	-20,17	-20,73	-21,21	-21,67	-22,09	-22,52	-22,87	-23,20	-23,49	-23,77	-23,88	-23,98	-23,85	-23,72	-23,51	-23,31	-23,15	-22,98	-22,91	-22,84	-19,80
30/01/2020 00:55:00	-19,77	-20,16	-20,60	-21,14	-21,64	-22,07	-22,48	-22,96	-23,32	-23,60	-23,87	-23,96	-24,04	-23,90	-23,76	-23,55	-23,34	-23,17	-23,01	-22,93	-22,86	-19,74
30/01/2020 01:00:00	-19,72	-20,09	-20,52	-21,02	-21,53	-22,02	-22,49	-22,97	-23,33	-23,61	-23,87	-23,94	-24,00	-23,83	-23,67	-23,44	-23,21	-23,03	-22,85	-22,77	-22,69	-19,74
30/01/2020 01:05:00	-19,74	-20,27	-20,68	-21,01	-21,43	-21,90	-22,37	-22,85	-23,29	-23,66	-24,02	-24,19	-24,36	-24,27	-24,17	-23,98	-23,80	-23,64	-23,48	-23,41	-23,33	-19,78
30/01/2020 01:10:00	-19,80	-20,27	-20,70	-21,16	-21,48	-21,84	-22,39	-22,90	-23,23	-23,48	-23,74	-23,87	-24,00	-23,91	-23,83	-23,68	-23,52	-23,41	-23,29	-23,23	-23,18	-19,75
30/01/2020 01:15:00	-19,78	-20,23	-20,63	-21,08	-21,56	-22,05	-22,56	-23,00	-23,39	-23,71	-24,01	-24,09	-24,18	-24,01	-23,84	-23,60	-23,36	-23,17	-22,97	-22,88	-22,80	-19,75
