FileFormat:0002.2 file with temperature of atmosphere
SN105HE102 RTK
local	GMT or Local
0	GMT-Local=[hours]
20	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D222917+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
05/09/2021 00:00:00	13,76	13,73	13,97	14,25	14,51	14,71	14,87	15,03	15,19	15,39	15,57	15,66	15,76	15,73	15,70	15,51	15,32	15,06	14,79	14,47	14,16	13,64
05/09/2021 00:05:00	13,68	13,70	13,91	14,15	14,37	14,69	14,94	15,14	15,29	15,45	15,64	15,75	15,87	15,85	15,83	15,65	15,47	15,20	14,93	14,60	14,28	13,55
05/09/2021 00:10:00	13,44	13,53	13,74	14,00	14,27	14,58	14,81	14,96	15,06	15,19	15,43	15,57	15,70	15,68	15,67	15,46	15,26	14,98	14,69	14,36	14,02	13,44
05/09/2021 00:15:00	13,41	13,37	13,58	13,86	14,19	14,51	14,77	14,98	15,13	15,31	15,56	15,70	15,84	15,84	15,83	15,65	15,46	15,19	14,91	14,58	14,25	13,37
05/09/2021 00:20:00	13,50	13,47	13,72	14,02	14,30	14,48	14,66	14,89	15,06	15,25	15,50	15,65	15,79	15,80	15,80	15,62	15,45	15,19	14,94	14,63	14,33	13,33
05/09/2021 00:25:00	13,35	13,39	13,66	13,98	14,27	14,60	14,87	15,12	15,33	15,56	15,78	15,93	16,07	16,08	16,09	15,92	15,75	15,50	15,24	14,92	14,61	13,35
05/09/2021 00:30:00	13,22	13,32	13,58	13,94	14,38	14,79	15,05	15,20	15,44	15,70	15,88	15,97	16,07	16,04	16,00	15,81	15,62	15,34	15,06	14,71	14,37	13,29
05/09/2021 00:35:00	13,16	13,16	13,48	13,91	14,38	14,77	15,06	15,30	15,58	15,84	15,92	15,94	15,96	15,90	15,83	15,64	15,45	15,16	14,88	14,53	14,18	13,15
05/09/2021 00:40:00	13,13	13,22	13,57	14,00	14,45	14,82	15,08	15,29	15,56	15,82	15,94	15,99	16,05	15,99	15,94	15,75	15,56	15,28	14,99	14,65	14,31	13,13
05/09/2021 00:45:00	12,98	12,99	13,39	13,84	14,27	14,70	15,06	15,37	15,60	15,84	16,08	16,22	16,37	16,36	16,36	16,18	16,01	15,73	15,46	15,12	14,78	13,09
05/09/2021 00:50:00	12,82	12,92	13,29	13,73	14,18	14,61	14,94	15,20	15,47	15,76	16,01	16,16	16,31	16,32	16,33	16,16	15,99	15,72	15,46	15,13	14,79	13,07
05/09/2021 00:55:00	12,88	12,86	13,27	13,73	14,20	14,61	14,98	15,33	15,54	15,76	16,06	16,24	16,42	16,43	16,45	16,27	16,09	15,82	15,54	15,20	14,87	12,91
