FileFormat:0002.2 file with temperature of atmosphere
SN105HE102 RTK
local	GMT or Local
0	GMT-Local=[hours]
20	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D222917+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\alaska.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
25/04/2022 00:00:00	-0,56	-0,75	-0,85	-0,94	-1,03	-1,10	-1,38	-1,76	-2,16	-2,64	-3,17	-3,65	-4,14	-4,46	-4,77	-4,98	-5,18	-5,40	-5,63	-5,82	-6,01	-0,44
25/04/2022 00:05:00	-0,44	-0,73	-0,86	-0,88	-0,90	-0,95	-1,26	-1,69	-2,15	-2,63	-3,18	-3,71	-4,24	-4,60	-4,97	-5,21	-5,45	-5,70	-5,96	-6,16	-6,36	-0,44
25/04/2022 00:10:00	-0,63	-0,80	-0,86	-0,81	-0,79	-0,96	-1,29	-1,70	-2,11	-2,63	-3,23	-3,76	-4,29	-4,64	-4,98	-5,19	-5,40	-5,63	-5,85	-6,04	-6,23	-0,64
25/04/2022 00:15:00	-0,75	-0,94	-0,99	-0,90	-0,83	-0,86	-1,13	-1,56	-2,07	-2,58	-3,16	-3,74	-4,31	-4,72	-5,13	-5,40	-5,68	-5,96	-6,23	-6,45	-6,66	-0,69
25/04/2022 00:20:00	-0,72	-0,96	-1,08	-1,09	-1,08	-1,19	-1,43	-1,73	-2,04	-2,50	-3,04	-3,51	-3,98	-4,28	-4,58	-4,77	-4,96	-5,16	-5,37	-5,55	-5,74	-0,66
25/04/2022 00:25:00	-0,57	-0,70	-0,81	-0,89	-0,99	-1,14	-1,42	-1,80	-2,22	-2,66	-3,15	-3,59	-4,02	-4,31	-4,59	-4,78	-4,97	-5,18	-5,39	-5,57	-5,75	-0,58
25/04/2022 00:30:00	-0,60	-0,86	-0,98	-0,99	-1,00	-1,14	-1,40	-1,75	-2,12	-2,60	-3,15	-3,64	-4,14	-4,45	-4,77	-4,97	-5,17	-5,38	-5,59	-5,78	-5,96	-0,64
25/04/2022 00:35:00	-0,60	-0,86	-0,95	-0,90	-0,89	-1,01	-1,31	-1,71	-2,12	-2,59	-3,10	-3,57	-4,04	-4,35	-4,66	-4,85	-5,05	-5,27	-5,48	-5,67	-5,85	-0,58
25/04/2022 00:40:00	-0,61	-0,91	-0,97	-0,91	-0,87	-0,92	-1,19	-1,58	-2,00	-2,46	-2,99	-3,49	-3,98	-4,32	-4,66	-4,88	-5,11	-5,34	-5,58	-5,77	-5,97	-0,50
25/04/2022 00:45:00	-0,66	-0,81	-1,00	-1,12	-1,22	-1,31	-1,53	-1,82	-2,17	-2,56	-3,01	-3,41	-3,81	-4,08	-4,35	-4,52	-4,70	-4,91	-5,12	-5,31	-5,49	-0,59
